date,steps,distance,runDistance,calories
2021-10-27,8617,6260,151,307
2021-10-28,10040,7364,223,517
2021-10-29,9663,7066,350,434
2021-10-30,4138,3173,117,335
2021-10-31,7150,5271,860,191
2021-11-01,9504,7085,151,507
2021-11-02,9160,6624,167,404
2021-11-03,6162,4442,218,254
2021-11-04,4556,3138,216,110
2021-11-05,8415,6267,198,365
2021-11-06,8649,6427,847,214
2021-11-07,7366,5415,156,182
2021-11-08,8753,6228,683,216
2021-11-09,7553,5288,474,181
2021-11-10,7439,5414,191,180
2021-11-11,8847,6556,206,460
2021-11-12,8364,6235,176,210
2021-11-13,9876,7442,306,256
2021-11-14,9117,6858,346,238
2021-11-15,5959,4269,183,144
