date,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2021-10-27,85,285,0,2021-10-26 16:05:00+0000,2021-10-26 22:15:00+0000
2021-10-28,85,367,1,2021-10-27 15:15:00+0000,2021-10-27 22:48:00+0000
2021-10-29,30,303,0,2021-10-28 17:11:00+0000,2021-10-28 22:44:00+0000
2021-10-30,95,361,1,2021-10-29 17:28:00+0000,2021-10-30 01:05:00+0000
2021-10-31,63,326,5,2021-10-30 19:12:00+0000,2021-10-31 01:46:00+0000
2021-11-01,115,333,42,2021-10-31 15:32:00+0000,2021-10-31 23:42:00+0000
2021-11-02,64,306,0,2021-11-01 17:18:00+0000,2021-11-01 23:28:00+0000
2021-11-03,86,354,0,2021-11-02 17:25:00+0000,2021-11-03 00:45:00+0000
2021-11-04,89,332,5,2021-11-03 17:44:00+0000,2021-11-04 00:50:00+0000
2021-11-05,80,398,4,2021-11-04 15:16:00+0000,2021-11-04 23:18:00+0000
2021-11-06,0,0,0,2021-11-04 15:00:00+0000,2021-11-04 15:00:00+0000
2021-11-07,72,345,6,2021-11-06 16:59:00+0000,2021-11-07 00:02:00+0000
2021-11-08,70,128,1,2021-11-07 21:26:00+0000,2021-11-08 00:45:00+0000
2021-11-09,118,436,3,2021-11-08 14:13:00+0000,2021-11-08 23:30:00+0000
2021-11-10,67,377,0,2021-11-09 16:44:00+0000,2021-11-10 00:08:00+0000
2021-11-11,64,341,0,2021-11-10 16:50:00+0000,2021-11-10 23:35:00+0000
2021-11-12,41,145,0,2021-11-11 16:13:00+0000,2021-11-11 19:19:00+0000
2021-11-13,60,293,1,2021-11-12 17:27:00+0000,2021-11-12 23:21:00+0000
2021-11-14,96,364,0,2021-11-13 17:16:00+0000,2021-11-14 00:56:00+0000
2021-11-15,96,392,7,2021-11-14 14:42:00+0000,2021-11-14 22:57:00+0000
